date,concentration,day,month,year,day_of_week,timestamp,month_sin,month_cos,years_since_start,season
2018-04-18,0.038134827399240914,18,4,2018,2,1524009600.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-19,0.02855593710464486,19,4,2018,3,1524096000.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-20,0.05711187420928972,20,4,2018,4,1524182400.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-21,0.05711187420928972,21,4,2018,5,1524268800.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-22,0.05241279595156335,22,4,2018,6,1524355200.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-23,0.047532983914693655,23,4,2018,0,1524441600.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-24,0.00957889029459606,24,4,2018,1,1524528000.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-25,0.05711187420928972,25,4,2018,2,1524614400.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-26,0.07138984276161216,26,4,2018,3,1524700800.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-27,0.07626965479848183,27,4,2018,4,1524787200.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-28,0.09994577986625701,28,4,2018,5,1524873600.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-29,0.1715163564070125,29,4,2018,6,1524960000.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-30,0.03325501536237123,30,4,2018,0,1525046400.0,0.8660254037844387,-0.49999999999999983,0,2
2018-05-01,0.09524670160853063,1,5,2018,1,1525132800.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-02,0.08566781131393458,2,5,2018,2,1525219200.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-03,0.03325501536237123,3,5,2018,3,1525305600.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-04,0.02855593710464486,4,5,2018,4,1525392000.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-05,0.03325501536237123,5,5,2018,5,1525478400.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-06,0.08096873305620822,6,5,2018,6,1525564800.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-07,0.09054762335080427,7,5,2018,0,1525651200.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-08,0.05711187420928972,8,5,2018,1,1525737600.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-09,0.06199168624615941,9,5,2018,2,1525824000.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-10,0.08096873305620822,10,5,2018,3,1525910400.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-11,0.09994577986625701,11,5,2018,4,1525996800.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-12,0.09524670160853063,12,5,2018,5,1526083200.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-13,0.05241279595156335,13,5,2018,6,1526169600.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-14,0.11910356045544912,14,5,2018,0,1526256000.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-15,0.06199168624615941,15,5,2018,1,1526342400.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-16,0.09994577986625701,16,5,2018,2,1526428800.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-17,0.06199168624615941,17,5,2018,3,1526515200.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-18,0.21904934032170612,18,5,2018,4,1526601600.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-19,0.13338152900777156,19,5,2018,5,1526688000.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-20,0.2618832459786734,20,5,2018,6,1526774400.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-21,0.12380263871317548,21,5,2018,0,1526860800.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-22,0.047532983914693655,22,5,2018,1,1526947200.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-23,0.14277968552322431,23,5,2018,2,1527033600.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-24,0.07138984276161216,24,5,2018,3,1527120000.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-25,0.20947045002711007,25,5,2018,4,1527206400.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-26,0.3332730887402856,26,5,2018,5,1527292800.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-27,0.3332730887402856,27,5,2018,6,1527379200.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-28,0.19519248147478765,28,5,2018,0,1527465600.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-29,0.08096873305620822,29,5,2018,1,1527552000.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-30,0.11422374841857943,30,5,2018,2,1527638400.0,0.49999999999999994,-0.8660254037844387,0,2
2018-05-31,0.11422374841857943,31,5,2018,3,1527724800.0,0.49999999999999994,-0.8660254037844387,0,2
2018-06-01,0.11422374841857943,1,6,2018,4,1527811200.0,1.2246467991473532e-16,-1.0,0,3
2018-06-02,0.07138984276161216,2,6,2018,5,1527897600.0,1.2246467991473532e-16,-1.0,0,3
2018-06-03,0.16193746611241644,3,6,2018,6,1527984000.0,1.2246467991473532e-16,-1.0,0,3
2018-06-04,0.06199168624615941,4,6,2018,0,1528070400.0,1.2246467991473532e-16,-1.0,0,3
2018-06-05,0.1715163564070125,5,6,2018,1,1528156800.0,1.2246467991473532e-16,-1.0,0,3
2018-06-06,0.13338152900777156,6,6,2018,2,1528243200.0,1.2246467991473532e-16,-1.0,0,3
2018-06-07,0.10952467016085306,7,6,2018,3,1528329600.0,1.2246467991473532e-16,-1.0,0,3
2018-06-08,0.15705765407554673,8,6,2018,4,1528416000.0,1.2246467991473532e-16,-1.0,0,3
2018-06-09,0.12380263871317548,9,6,2018,5,1528502400.0,1.2246467991473532e-16,-1.0,0,3
2018-06-10,0.19049340321706126,10,6,2018,6,1528588800.0,1.2246467991473532e-16,-1.0,0,3
2018-06-11,0.08566781131393458,11,6,2018,0,1528675200.0,1.2246467991473532e-16,-1.0,0,3
2018-06-12,0.20947045002711007,12,6,2018,1,1528761600.0,1.2246467991473532e-16,-1.0,0,3
2018-06-13,0.11422374841857943,13,6,2018,2,1528848000.0,1.2246467991473532e-16,-1.0,0,3
2018-06-14,0.11422374841857943,14,6,2018,3,1528934400.0,1.2246467991473532e-16,-1.0,0,3
2018-06-15,0.15235857581782036,15,6,2018,4,1529020800.0,1.2246467991473532e-16,-1.0,0,3
2018-06-16,0.10952467016085306,16,6,2018,5,1529107200.0,1.2246467991473532e-16,-1.0,0,3
2018-06-17,0.10952467016085306,17,6,2018,6,1529193600.0,1.2246467991473532e-16,-1.0,0,3
2018-06-18,0.13808060726549792,18,6,2018,0,1529280000.0,1.2246467991473532e-16,-1.0,0,3
2018-06-19,0.047532983914693655,19,6,2018,1,1529366400.0,1.2246467991473532e-16,-1.0,0,3
2018-06-20,0.023856858846918492,20,6,2018,2,1529452800.0,1.2246467991473532e-16,-1.0,0,3
2018-06-21,0.038134827399240914,21,6,2018,3,1529539200.0,1.2246467991473532e-16,-1.0,0,3
2018-06-22,0.0189770468100488,22,6,2018,4,1529625600.0,1.2246467991473532e-16,-1.0,0,3
2018-06-23,0.038134827399240914,23,6,2018,5,1529712000.0,1.2246467991473532e-16,-1.0,0,3
2018-06-24,0.03325501536237123,24,6,2018,6,1529798400.0,1.2246467991473532e-16,-1.0,0,3
2018-06-25,0.07626965479848183,25,6,2018,0,1529884800.0,1.2246467991473532e-16,-1.0,0,3
2018-06-26,0.08096873305620822,26,6,2018,1,1529971200.0,1.2246467991473532e-16,-1.0,0,3
2018-06-27,0.09524670160853063,27,6,2018,2,1530057600.0,1.2246467991473532e-16,-1.0,0,3
2018-06-28,0.06669076450388578,28,6,2018,3,1530144000.0,1.2246467991473532e-16,-1.0,0,3
2018-06-29,0.08096873305620822,29,6,2018,4,1530230400.0,1.2246467991473532e-16,-1.0,0,3
2018-06-30,0.09524670160853063,30,6,2018,5,1530316800.0,1.2246467991473532e-16,-1.0,0,3
2018-07-01,0.08096873305620822,1,7,2018,6,1530403200.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-02,0.05241279595156335,2,7,2018,0,1530489600.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-03,0.0,3,7,2018,1,1530576000.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-04,0.0,4,7,2018,2,1530662400.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-05,0.01427796855232243,5,7,2018,3,1530748800.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-06,0.0189770468100488,6,7,2018,4,1530835200.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-07,0.02855593710464486,7,7,2018,5,1530921600.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-08,0.038134827399240914,8,7,2018,6,1531008000.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-09,0.02855593710464486,9,7,2018,0,1531094400.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-10,0.03325501536237123,10,7,2018,1,1531180800.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-11,0.02855593710464486,11,7,2018,2,1531267200.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-12,0.0189770468100488,12,7,2018,3,1531353600.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-13,0.03325501536237123,13,7,2018,4,1531440000.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-14,0.01427796855232243,14,7,2018,5,1531526400.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-15,0.02855593710464486,15,7,2018,6,1531612800.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-16,0.038134827399240914,16,7,2018,0,1531699200.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-17,0.00957889029459606,17,7,2018,1,1531785600.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-18,0.0189770468100488,18,7,2018,2,1531872000.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-19,0.01427796855232243,19,7,2018,3,1531958400.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-20,0.0189770468100488,20,7,2018,4,1532044800.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-21,0.01427796855232243,21,7,2018,5,1532131200.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-22,0.02855593710464486,22,7,2018,6,1532217600.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-23,0.038134827399240914,23,7,2018,0,1532304000.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-24,0.01427796855232243,24,7,2018,1,1532390400.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-25,0.023856858846918492,25,7,2018,2,1532476800.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-26,0.0189770468100488,26,7,2018,3,1532563200.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-27,0.0,27,7,2018,4,1532649600.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-28,0.00957889029459606,28,7,2018,5,1532736000.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-29,0.01427796855232243,29,7,2018,6,1532822400.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-30,0.01427796855232243,30,7,2018,0,1532908800.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-07-31,0.05241279595156335,31,7,2018,1,1532995200.0,-0.4999999999999998,-0.8660254037844388,0,3
2018-08-01,0.023856858846918492,1,8,2018,2,1533081600.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-02,0.06669076450388578,2,8,2018,3,1533168000.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-03,0.047532983914693655,3,8,2018,4,1533254400.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-04,0.04283390565696729,4,8,2018,5,1533340800.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-05,0.02855593710464486,5,8,2018,6,1533427200.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-06,0.05711187420928972,6,8,2018,0,1533513600.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-07,0.02855593710464486,7,8,2018,1,1533600000.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-08,0.03325501536237123,8,8,2018,2,1533686400.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-09,0.04283390565696729,9,8,2018,3,1533772800.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-10,0.038134827399240914,10,8,2018,4,1533859200.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-11,0.038134827399240914,11,8,2018,5,1533945600.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-12,0.03325501536237123,12,8,2018,6,1534032000.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-13,0.047532983914693655,13,8,2018,0,1534118400.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-14,0.01427796855232243,14,8,2018,1,1534204800.0,-0.8660254037844384,-0.5000000000000004,0,3
